genotype,checkId,Plot,Inoc,Rep,Row,Col,Block,Sev11,Sev13,Sev15,Sev17
JS32,noCheck,220,I,2,9,10,5,0,0,0,0.67
JT30,noCheck,221,I,2,9,11,5,0.67,0.67,1.33,2
JG41,noCheck,225,I,2,10,14,5,1,1.67,4,4.33
JT37,noCheck,226,I,2,10,13,5,4.33,5,7.33,7.33
JT7,noCheck,227,I,2,10,12,5,0.33,1.67,2.67,5
NA,Salmon,228,I,2,10,11,5,2.67,3.67,5.67,7.33
JG14,noCheck,229,I,2,10,10,5,0,0,0,0
JT24,noCheck,231,I,2,10,8,5,1,2,3.33,5
JS36,noCheck,233,I,2,11,9,5,0,0,0.33,1
JS11,noCheck,234,I,2,11,10,5,0,0,0,0.67
JG43,noCheck,237,I,2,11,13,5,5.33,6.33,7.67,7.67
JS20,noCheck,238,I,2,11,14,5,0,0.33,0.33,0.67
JT9,noCheck,240,I,2,12,13,5,3,4.33,5.67,7.33
JG29,noCheck,242,I,2,12,11,5,0.33,0.67,2.33,4.33
JS25,noCheck,243,I,2,12,10,5,0,0,0,0
JT40,noCheck,245,I,2,12,8,5,1.67,2.67,3.67,4.33
JS23,noCheck,247,I,2,13,9,5,1.33,2,2.67,3.67
JG3,noCheck,249,I,2,13,11,5,1.67,2,3.67,4
JG3,noCheck,250,I,2,13,12,5,0.67,1,1.33,1.67
JS3,noCheck,251,I,2,13,13,5,3.33,5,7,7.67
JG24,noCheck,253,I,2,14,14,5,0.67,1,3,4.33
JG27,noCheck,254,I,2,14,13,5,0.67,0.67,1.33,2.33
JG38,noCheck,255,I,2,14,12,5,0.67,0.67,0.67,0.67
JS4,noCheck,257,I,2,14,10,5,2.33,2.67,4.33,7.33
JS30,noCheck,258,I,2,14,9,5,0,0,0,0
JT39,noCheck,261,I,2,15,9,5,0,0,0.67,0.67
JG40,noCheck,263,I,2,15,11,5,0,0,0.33,0.67
JG26,noCheck,264,I,2,15,12,5,0.33,1,2.33,3.67
JG1,noCheck,267,I,2,16,14,6,4.33,5,6.33,7.33
JS24,noCheck,269,I,2,16,12,6,3.67,5.67,6.67,7.67
JS31,noCheck,271,I,2,16,10,6,3,3.67,5,6
JG37,noCheck,272,I,2,16,9,6,2.67,4.33,6.67,7.67
JS3,noCheck,274,I,2,17,8,6,0,0.67,0.67,1.33
JS10,noCheck,276,I,2,17,10,6,0,0.33,0.67,0.67
JT35,noCheck,280,I,2,17,14,6,1.67,1.67,1.67,1.67
JG36,noCheck,281,I,2,18,14,6,0,0,0,0
JS38,noCheck,283,I,2,18,12,6,2,2.33,2.67,3
NA,Heritage,284,I,2,18,11,6,2.67,4,5.67,6.67
JS8,noCheck,285,I,2,18,10,6,0,0,1,0.33
JG16,noCheck,288,I,2,19,8,6,4.33,5,6.67,7.67
JS27,noCheck,289,I,2,19,9,6,1.67,2.33,2.33,3.33
JS5,noCheck,290,I,2,19,10,6,2,3,4,4.67
JT11,noCheck,293,I,2,19,13,6,2.67,3.67,5.33,6.67
JG13,noCheck,294,I,2,19,14,6,2,3,4,4.67
JG8,noCheck,298,I,2,20,11,6,0.67,1,1,1
JT26,noCheck,299,I,2,20,10,6,2.33,3.33,4.67,4.67
JG17,noCheck,300,I,2,20,9,6,4.67,5.67,7.33,7.67
