genotype,plot,row,col,block,rep,inoc,pheno,checkId,mean_NDVI,mean_OSAVI,median_NDVI,median_OSAVI
JG15,303,21,9,6,2,I,Sev05,noCheck,0.706321813247383,0.81932896441474,0.738856487557265,0.85706927076727
NA,304,21,10,6,2,I,Sev05,Jewel,0.690191185427857,0.800617514477892,0.710775204629528,0.824494266671742
JS35,307,21,13,6,2,I,Sev05,noCheck,0.643322527246663,0.746249537268999,0.674650853300486,0.782590611365527
JT6,308,21,14,6,2,I,Sev05,noCheck,0.698228266270429,0.809940714167544,0.738103571247526,0.856195649505759
JT12,309,22,14,6,2,I,Sev05,noCheck,0.652119988278457,0.756455133150014,0.69234340901704,0.803112388077165
JT36,310,22,13,6,2,I,Sev05,noCheck,0.64841594359659,0.752158335839664,0.690911059821661,0.801451462524965
NA,311,22,12,6,2,I,Sev05,HimboTop,0.740808416493021,0.859333597115234,0.767863981006357,0.89071948925637
JT17,312,22,11,6,2,I,Sev05,noCheck,0.323279068783914,0.375000575819356,0.339903027236877,0.394283856622951
JS21,313,22,10,6,2,I,Sev05,noCheck,0.665905377528803,0.772446389277583,0.698095352382282,0.80978633603227
JG25,314,22,9,6,2,I,Sev05,noCheck,0.524381376035644,0.60827880420201,0.577443380452956,0.669830248790097
JT29,316,23,8,6,2,I,Sev05,noCheck,0.546794997227191,0.634278523375756,0.668198294131179,0.775106747242642
JG19,317,23,9,6,2,I,Sev05,noCheck,0.611258377936041,0.709055759479622,0.672938379512259,0.780605248264225
JG31,318,23,10,6,2,I,Sev05,noCheck,0.552729799258824,0.641163215660613,0.620847201835811,0.720180371940636
JT22,320,23,12,6,2,I,Sev05,noCheck,0.639486244021962,0.741800500920768,0.688428300227946,0.798573331529387
JS14,162,1,8,4,2,I,Sev07,noCheck,0.525694876388561,0.609801829830645,0.489071610106144,0.567320353677483
NA,163,1,9,4,2,I,Sev07,Salmon,0.731666441783477,0.848728763595554,0.755154700047237,0.875974908644263
JG18,165,1,11,4,2,I,Sev07,noCheck,0.699470285745322,0.811381340999441,0.749330006468903,0.869218048117888
JT26,171,2,12,4,2,I,Sev07,noCheck,0.753837839446319,0.874448166504295,0.782880913470722,0.908138775766621
JS1,174,2,9,4,2,I,Sev07,noCheck,0.687659886974016,0.79768251321224,0.730530742056484,0.847413386115758
JT31,179,3,11,4,2,I,Sev07,noCheck,0.667557244432043,0.774362659771357,0.728521346587908,0.845081515318579
JG42,184,4,13,4,2,I,Sev07,noCheck,0.547604750912425,0.635218620558828,0.668506911294674,0.775465441981015
JS29,185,4,12,4,2,I,Sev07,noCheck,0.6074395024926,0.704626862832202,0.672949598672978,0.780618407478864
NA,186,4,11,4,2,I,Sev07,Heritage,0.669869117754105,0.777044658522229,0.739503247164384,0.857821283825586
JS7,188,4,9,4,2,I,Sev07,noCheck,0.593124928790903,0.688022007730474,0.719693586616743,0.834842266243643
JS2,190,5,8,4,2,I,Sev07,noCheck,0.560143054807484,0.649763423947927,0.671679358375461,0.779145396572952
JT27,192,5,10,4,2,I,Sev07,noCheck,0.543683061616458,0.63066943607869,0.632292319361541,0.733455220366215
JT2,194,5,12,4,2,I,Sev07,noCheck,0.595129835467957,0.690347643943572,0.711828531284191,0.825718473525783
JG6,195,5,13,4,2,I,Sev07,noCheck,0.677751361685709,0.786188308617169,0.73484989744546,0.852420794804133
NA,196,5,14,4,2,I,Sev07,GoldenBliss,0.711411967379089,0.82523399427349,0.770942325874567,0.894290091681591
JT1,197,6,14,4,2,I,Sev07,noCheck,0.707659005094128,0.820880623183333,0.762134814401983,0.884073497298767
JT21,199,6,12,4,2,I,Sev07,noCheck,0.578911993223195,0.671535029454716,0.669476272787212,0.776590262229949
JS19,204,7,8,4,2,I,Sev07,noCheck,0.608020694148738,0.705301322094934,0.669585543895871,0.776717231062144
NA,206,7,10,4,2,I,Sev07,Jewel,0.392741540959831,0.455577924497381,0.437698903892156,0.507725654098966
JG39,207,7,11,4,2,I,Sev07,noCheck,0.682073348261913,0.791201655253086,0.710725643170911,0.82443810556069
JT28,208,7,12,4,2,I,Sev07,noCheck,0.674414319342926,0.782317395511517,0.742052842965978,0.860778817343969
JG32,209,7,13,4,2,I,Sev07,noCheck,0.697549596167022,0.809153430425888,0.752231679685346,0.872584614338021
JG9,210,7,14,4,2,I,Sev07,noCheck,0.657352954634222,0.76252539027727,0.694883471738548,0.806060508649833
JS12,211,8,14,5,2,I,Sev07,noCheck,0.66360017497933,0.769772218662641,0.707641673970484,0.82085988876928
JG12,212,8,13,5,2,I,Sev07,noCheck,0.640705030086782,0.743214424515016,0.675970121227072,0.784122356742477
JS15,213,8,12,5,2,I,Sev07,noCheck,0.668028225698326,0.774909146857097,0.704624814373244,0.817362249585299
