genotype,plot,row,col,block,rep,inoc,pheno,checkId,mean_NDVI,mean_OSAVI,median_NDVI,median_OSAVI
JS5,290,19,10,6,2,I,Sev09,noCheck,0.652011329947152,0.756329261993659,0.713107281425351,0.827201218631558
JT11,293,19,13,6,2,I,Sev09,noCheck,0.653852618115485,0.758464969116484,0.676654193970756,0.784915044710961
JG13,294,19,14,6,2,I,Sev09,noCheck,0.692510751492773,0.803309004819713,0.729474959186898,0.846187387698614
JG8,298,20,11,6,2,I,Sev09,noCheck,0.6291135439778,0.729767865321111,0.705445298074926,0.818312270356396
JT26,299,20,10,6,2,I,Sev09,noCheck,0.675922940181269,0.78406633989063,0.729917745176593,0.846698767028477
JG17,300,20,9,6,2,I,Sev09,noCheck,0.587150180540243,0.681090544521507,0.63967171826827,0.742014037854616
NA,301,20,8,6,2,I,Sev09,Salmon,0.592894386801261,0.687754635797165,0.737696384629945,0.85572456663045
JT13,302,21,8,6,2,I,Sev09,noCheck,0.615976281539293,0.714529196159463,0.682308281381908,0.791474471001887
JG15,303,21,9,6,2,I,Sev09,noCheck,0.668789474163865,0.775791610190082,0.71826462419439,0.833182819453864
NA,304,21,10,6,2,I,Sev09,Jewel,0.680091644430176,0.788902368169468,0.704271777719146,0.816952474503964
JS35,307,21,13,6,2,I,Sev09,noCheck,0.663939199303739,0.77016503581286,0.700018878610534,0.81201883323076
JT6,308,21,14,6,2,I,Sev09,noCheck,0.672756916452562,0.780394278949355,0.717113852029384,0.831849474953411
JT12,309,22,14,6,2,I,Sev09,noCheck,0.682716693325164,0.79194752477199,0.722744579998446,0.838378501027268
JT36,310,22,13,6,2,I,Sev09,noCheck,0.664044151054394,0.770287346570865,0.704321327603487,0.817008441322126
NA,311,22,12,6,2,I,Sev09,HimboTop,0.758933067546202,0.88035841344632,0.780581507028726,0.905471385763081
JS21,313,22,10,6,2,I,Sev09,noCheck,0.679516019053779,0.788234675410807,0.708796520057999,0.822196015504925
JG25,314,22,9,6,2,I,Sev09,noCheck,0.533629864308589,0.619007142485709,0.576310802809921,0.668515379232595
JT29,316,23,8,6,2,I,Sev09,noCheck,0.630334643996097,0.731184359525346,0.694821750806863,0.805990066079374
JG19,317,23,9,6,2,I,Sev09,noCheck,0.647609366137207,0.751222755231168,0.696347493663552,0.807759455879879
JG31,318,23,10,6,2,I,Sev09,noCheck,0.546144251820269,0.633524675927983,0.652027608358985,0.75634971194857
JT22,320,23,12,6,2,I,Sev09,noCheck,0.664229314011419,0.770502312912471,0.714615290149228,0.828949209751369
JS14,162,1,8,4,2,I,Sev11,noCheck,0.519101697089813,0.602154696233104,0.650224920869188,0.754257115310348
NA,163,1,9,4,2,I,Sev11,Salmon,0.692925348990363,0.803789573494955,0.750319229667534,0.870367631435091
JG18,165,1,11,4,2,I,Sev11,noCheck,0.623705230093854,0.723494345431183,0.715517717817496,0.829996476670557
JT26,171,2,12,4,2,I,Sev11,noCheck,0.719149274479998,0.834209114414305,0.7612311582447,0.883023935804434
JS1,174,2,9,4,2,I,Sev11,noCheck,0.688698653826333,0.79888690913693,0.7330671171863,0.850352631837617
JT31,179,3,11,4,2,I,Sev11,noCheck,0.694880549973883,0.806057457108273,0.740294599018003,0.858737237382717
JG42,184,4,13,4,2,I,Sev11,noCheck,0.562637436507103,0.652656374872244,0.65653168572641,0.761574628235408
JS29,185,4,12,4,2,I,Sev11,noCheck,0.621618073348938,0.721073720904033,0.695061843206547,0.806268738886864
NA,186,4,11,4,2,I,Sev11,Heritage,0.669961154906839,0.777151329480916,0.7538832214077,0.874501657705829
JS7,188,4,9,4,2,I,Sev11,noCheck,0.523622419492433,0.607399515269963,0.72258294305547,0.838194161860778
JS2,190,5,8,4,2,I,Sev11,noCheck,0.479156005479397,0.555819047381545,0.613555380554302,0.711722584848114
JT27,192,5,10,4,2,I,Sev11,noCheck,0.489777255480697,0.568138786478798,0.592885580643873,0.687744053541163
JT2,194,5,12,4,2,I,Sev11,noCheck,0.636493503297244,0.738329260466282,0.719700940767512,0.834849406132784
JG6,195,5,13,4,2,I,Sev11,noCheck,0.677133664615046,0.785471186150474,0.720656004337219,0.835956432873771
NA,196,5,14,4,2,I,Sev11,GoldenBliss,0.713730621199578,0.827923633604148,0.747657820644417,0.867280314584356
JT1,197,6,14,4,2,I,Sev11,noCheck,0.722671941875084,0.83829559374522,0.768415354774685,0.891358594943949
JT21,199,6,12,4,2,I,Sev11,noCheck,0.594581719524349,0.689711646767758,0.677665354890002,0.786088220641158
JS19,204,7,8,4,2,I,Sev11,noCheck,0.381912327533157,0.443016678865591,0.566154497745395,0.656736123583837
NA,206,7,10,4,2,I,Sev11,Jewel,0.337067841962767,0.390996120387563,0.364861294583884,0.423235523504161
JG39,207,7,11,4,2,I,Sev11,noCheck,0.658787305577072,0.764189782933984,0.698377683115291,0.810115613450579
JT28,208,7,12,4,2,I,Sev11,noCheck,0.66648250503345,0.77311640523927,0.733906367098481,0.851329302529887
JG32,209,7,13,4,2,I,Sev11,noCheck,0.705867579921493,0.818802299026436,0.751709139197837,0.871978132724398
JG9,210,7,14,4,2,I,Sev11,noCheck,0.632257320170049,0.733414152616248,0.671365554276947,0.778781055692153
JS12,211,8,14,5,2,I,Sev11,noCheck,0.648471675527329,0.752223223396807,0.689009907080453,0.799247486887221
JG12,212,8,13,5,2,I,Sev11,noCheck,0.635211025682208,0.736841045019021,0.671120122373027,0.778496672536543
JS15,213,8,12,5,2,I,Sev11,noCheck,0.670074380348744,0.777282243071224,0.707762563434798,0.821001877359086
JG4,214,8,11,4,2,I,Sev11,noCheck,0.614615644085963,0.712950872713259,0.643578158689026,0.746545821388354
JG34,215,8,10,4,2,I,Sev11,noCheck,0.584618089797031,0.678153742496161,0.659568743513856,0.765097389868502
JT19,216,8,9,4,2,I,Sev11,noCheck,0.635017885041238,0.736617306493118,0.686969895686407,0.796881730033167
JG21,218,9,8,5,2,I,Sev11,noCheck,0.42434153268979,0.492234364034304,0.55910766244373,0.648563303002379
NA,219,9,9,5,2,I,Sev11,HimboTop,0.672367477241981,0.779943045253918,0.703302580558898,0.815826630155742
JS32,220,9,10,5,2,I,Sev11,noCheck,0.665425288431598,0.771889692319886,0.701223273236551,0.813415405507026
JT30,221,9,11,5,2,I,Sev11,noCheck,0.673731973596449,0.781524827961741,0.721604637827288,0.837058399188957
JG41,225,10,14,5,2,I,Sev11,noCheck,0.697027204019038,0.808547546933157,0.728564109729402,0.845131218364423
JT37,226,10,13,5,2,I,Sev11,noCheck,0.674254441611445,0.782131347725333,0.693722383663071,0.804715402363274
JT7,227,10,12,5,2,I,Sev11,noCheck,0.675928845138114,0.784073252458028,0.71894309328254,0.833969426694671
NA,228,10,11,5,2,I,Sev11,Salmon,0.705807508190152,0.818732772632446,0.752610952229637,0.873025745490535
JG14,229,10,10,5,2,I,Sev11,noCheck,0.240084381315833,0.278495705370282,0.283468469032326,0.328821010477565
JT24,231,10,8,5,2,I,Sev11,noCheck,0.40417009780819,0.46883570603406,0.59020979020979,0.684641575172353
JS36,233,11,9,5,2,I,Sev11,noCheck,0.655441902605277,0.760309533156946,0.70945353935427,0.822963704128329
JS11,234,11,10,5,2,I,Sev11,noCheck,0.638891469433631,0.741110339743654,0.686473681834883,0.796305173784163
JG43,237,11,13,5,2,I,Sev11,noCheck,0.677138023333785,0.785476506119743,0.70278308788606,0.815225140092649
JS20,238,11,14,5,2,I,Sev11,noCheck,0.691840664054476,0.802531403870401,0.726812883555293,0.843098075767394
JT9,240,12,13,5,2,I,Sev11,noCheck,0.621254258690981,0.720651883879079,0.688392128156761,0.798531271572864
JG29,242,12,11,5,2,I,Sev11,noCheck,0.721185143012709,0.836570784451973,0.760994427775396,0.882749500216601
JS25,243,12,10,5,2,I,Sev11,noCheck,0.447577968813772,0.519187689434485,0.48347799604081,0.560831742558891
JT40,245,12,8,5,2,I,Sev11,noCheck,0.456508063444601,0.529547172675898,0.560757373699525,0.650475983593568
JS23,247,13,9,5,2,I,Sev11,noCheck,0.599927498117783,0.695912644852858,0.661500569617206,0.767336686170412
JG3,249,13,11,5,2,I,Sev11,noCheck,0.639495026507633,0.741810537476191,0.686843279646233,0.796735618530184
JG3,250,13,12,5,2,I,Sev11,noCheck,0.623390200276388,0.723129365689968,0.695378730454631,0.806637213612576
JS3,251,13,13,5,2,I,Sev11,noCheck,0.670974072847748,0.778326236492253,0.718688835382593,0.833675489870326
JG24,253,14,14,5,2,I,Sev11,noCheck,0.595558750470207,0.690844399922621,0.688290119715399,0.798412275349773
JG27,254,14,13,5,2,I,Sev11,noCheck,0.699727756515753,0.811679963487427,0.739896802380325,0.858275118676547
JG38,255,14,12,5,2,I,Sev11,noCheck,0.596280190984745,0.691681699908257,0.657582530250669,0.762793403080484
JS4,257,14,10,5,2,I,Sev11,noCheck,0.636221276486458,0.738013380496719,0.682243886081104,0.791399874871734
JS30,258,14,9,5,2,I,Sev11,noCheck,0.528321415799481,0.612850250514982,0.643580726065209,0.74655196861029
JT39,261,15,9,5,2,I,Sev11,noCheck,0.61473915240746,0.713094600797952,0.647961524163825,0.751633243714496
JG40,263,15,11,5,2,I,Sev11,noCheck,0.613345941855903,0.711477982938908,0.654562978827816,0.759290361215288
JG26,264,15,12,5,2,I,Sev11,noCheck,0.702988798926343,0.815463383033931,0.725534722435327,0.841616145745748
JG1,267,16,14,6,2,I,Sev11,noCheck,0.618327278870856,0.717256275347689,0.724425707323856,0.840328695483146
JS24,269,16,12,6,2,I,Sev11,noCheck,0.730382153639125,0.847239193327702,0.762721948498652,0.884752074387126
JS31,271,16,10,6,2,I,Sev11,noCheck,0.657033251586438,0.762155349065944,0.700211698000841,0.812239951671367
JG37,272,16,9,6,2,I,Sev11,noCheck,0.620926562127689,0.720272057089619,0.67454200161508,0.782465892717144
JS3,274,17,8,6,2,I,Sev11,noCheck,0.307048989572791,0.356175546532829,0.478446277927135,0.554996035980982
JS10,276,17,10,6,2,I,Sev11,noCheck,0.680731511805324,0.789644696296371,0.733269060817868,0.850589923766565
JT35,280,17,14,6,2,I,Sev11,noCheck,0.635603081870119,0.737295829523702,0.700609690783882,0.812703744796861
JG36,281,18,14,6,2,I,Sev11,noCheck,0.631334292175798,0.732344638673716,0.686274235650617,0.796075182063381
JS38,283,18,12,6,2,I,Sev11,noCheck,0.664961121227045,0.771351824314803,0.712285762769387,0.826248680642523
NA,284,18,11,6,2,I,Sev11,Heritage,0.703611669140819,0.816185882654615,0.744604709648598,0.863738766983806
JS8,285,18,10,6,2,I,Sev11,noCheck,0.595823162008387,0.691151605845671,0.64028541194959,0.7427286713555
JG16,288,19,8,6,2,I,Sev11,noCheck,0.488393322409881,0.566534027360543,0.688466824940647,0.798618323655334
JS27,289,19,9,6,2,I,Sev11,noCheck,0.601753171827619,0.698030025457921,0.650411789948186,0.754474576052365
JS5,290,19,10,6,2,I,Sev11,noCheck,0.656197206569849,0.761185070373063,0.713629773068554,0.827806435578464
JT11,293,19,13,6,2,I,Sev11,noCheck,0.641211478795628,0.743801341347356,0.667501936306893,0.774296601783394
JG13,294,19,14,6,2,I,Sev11,noCheck,0.680831277983858,0.789760879132979,0.722308268803469,0.837874839704087
JG8,298,20,11,6,2,I,Sev11,noCheck,0.637090703586075,0.739021491525633,0.695546496391359,0.80682861414788
JT26,299,20,10,6,2,I,Sev11,noCheck,0.691151282316563,0.801731434378039,0.716457419452428,0.831085578063361
JG17,300,20,9,6,2,I,Sev11,noCheck,0.587128841813687,0.681066187087127,0.622864148341123,0.722519459476579
NA,301,20,8,6,2,I,Sev11,Salmon,0.672318107572368,0.779885988329033,0.725692665431758,0.841800837738264
JT13,302,21,8,6,2,I,Sev11,noCheck,0.611414930744547,0.709238273466431,0.665428844511905,0.771894812039586
JG15,303,21,9,6,2,I,Sev11,noCheck,0.68462890939058,0.794165525962697,0.713601067702014,0.827773221192811
NA,304,21,10,6,2,I,Sev11,Jewel,0.674357257152249,0.782250789835564,0.699124604043495,0.810980052210932
JS35,307,21,13,6,2,I,Sev11,noCheck,0.651688642695959,0.755954861268693,0.682191780821918,0.791333571241911
JT6,308,21,14,6,2,I,Sev11,noCheck,0.671123987546122,0.778499782162158,0.708819094943832,0.822227356472
JT12,309,22,14,6,2,I,Sev11,noCheck,0.662441135843577,0.768427898753131,0.704365534020806,0.817060675485412
JT36,310,22,13,6,2,I,Sev11,noCheck,0.649200412870787,0.75306841266611,0.687327612626417,0.797295143762527
NA,311,22,12,6,2,I,Sev11,HimboTop,0.754359452573418,0.875053171723086,0.77675690887004,0.901035169031788
JS21,313,22,10,6,2,I,Sev11,noCheck,0.678458476249202,0.787008138653626,0.709297153024911,0.822781037450901
JG25,314,22,9,6,2,I,Sev11,noCheck,0.531123269333096,0.616099771710995,0.587270545357571,0.681228988104445
JT29,316,23,8,6,2,I,Sev11,noCheck,0.580848914492973,0.673781323234608,0.68047164295459,0.789344029062447
JG19,317,23,9,6,2,I,Sev11,noCheck,0.567821750799096,0.658669873409706,0.690510198251728,0.800988168939409
JG31,318,23,10,6,2,I,Sev11,noCheck,0.415173416011891,0.481599333155446,0.563473286486105,0.653625319395067
JT22,320,23,12,6,2,I,Sev11,noCheck,0.676069412877433,0.784236960057165,0.717387012078413,0.832165364494477
JS14,162,1,8,4,2,I,Sev13,noCheck,0.537541959200571,0.623545449033775,0.6075789290075,0.704789098939128
NA,163,1,9,4,2,I,Sev13,Salmon,0.680416031503386,0.789278842150391,0.7128672427337,0.826921844226392
JG18,165,1,11,4,2,I,Sev13,noCheck,0.660487552684105,0.76616166851947,0.709166552560239,0.822629194616326
JT26,171,2,12,4,2,I,Sev13,noCheck,0.682875426197874,0.792131921791655,0.7157002327777,0.830208188618535
JS1,174,2,9,4,2,I,Sev13,noCheck,0.650023476170794,0.754023985349872,0.693357416561514,0.804291419112568
JT31,179,3,11,4,2,I,Sev13,noCheck,0.630198136330654,0.731026383822591,0.663490273470538,0.76964222007977
JG42,184,4,13,4,2,I,Sev13,noCheck,0.5812540128593,0.674250947108432,0.645418719211823,0.748679813361077
JS29,185,4,12,4,2,I,Sev13,noCheck,0.659592356580359,0.765123961325167,0.704929250208361,0.817714946980788
NA,186,4,11,4,2,I,Sev13,Heritage,0.671476763919073,0.778909637240148,0.713498299519174,0.827654144931887
JS7,188,4,9,4,2,I,Sev13,noCheck,0.679456573989485,0.78816646325386,0.752604994525096,0.873016859782503
JS2,190,5,8,4,2,I,Sev13,noCheck,0.526428623373859,0.610654991027362,0.637060279653837,0.738987033356992
JT27,192,5,10,4,2,I,Sev13,noCheck,0.544143539167122,0.6312038422217,0.606570150010678,0.703618798377382
JT2,194,5,12,4,2,I,Sev13,noCheck,0.674238914124475,0.782113936188414,0.71559252037967,0.830084012142973
JG6,195,5,13,4,2,I,Sev13,noCheck,0.707450984554449,0.820639296424121,0.740017286084702,0.858417084124169
NA,196,5,14,4,2,I,Sev13,GoldenBliss,0.732398223656292,0.849577987287665,0.774670778463077,0.898615107134165
JT1,197,6,14,4,2,I,Sev13,noCheck,0.762039164855398,0.883961185187568,0.796243248562244,0.923638936777462
JT21,199,6,12,4,2,I,Sev13,noCheck,0.658313126389144,0.763639965389981,0.697630365631366,0.809248910257235
JS19,204,7,8,4,2,I,Sev13,noCheck,0.540432733058818,0.626899400993939,0.633093525179856,0.734382363612857
NA,206,7,10,4,2,I,Sev13,Jewel,0.406979745814202,0.472094234123126,0.454582734419025,0.527313655743958
JG39,207,7,11,4,2,I,Sev13,noCheck,0.661259596649365,0.767057770532826,0.694164444429283,0.805228004542686
JT28,208,7,12,4,2,I,Sev13,noCheck,0.692212279844718,0.802962872701756,0.732288316740164,0.849451830147069
JG32,209,7,13,4,2,I,Sev13,noCheck,0.734300289217175,0.851784172100351,0.777444926257537,0.901831607582033
JG9,210,7,14,4,2,I,Sev13,noCheck,0.701700214569792,0.81396789351044,0.746943560542623,0.866450660634575
JS12,211,8,14,5,2,I,Sev13,noCheck,0.703096540626334,0.815587444926247,0.739144170507028,0.857400548882713
JG12,212,8,13,5,2,I,Sev13,noCheck,0.666867850313102,0.773563053976848,0.711007928320894,0.824765764053731
JS15,213,8,12,5,2,I,Sev13,noCheck,0.701730279989576,0.814003277230906,0.738645796845987,0.856825618554459
JG4,214,8,11,4,2,I,Sev13,noCheck,0.6355122046351,0.737190994446956,0.657346789251022,0.762519392046921
JG34,215,8,10,4,2,I,Sev13,noCheck,0.626362788035347,0.726577733036916,0.664654614080364,0.770996525334936
JT19,216,8,9,4,2,I,Sev13,noCheck,0.679796127715072,0.788560070026903,0.710237451723177,0.82387270269573
JG21,218,9,8,5,2,I,Sev13,noCheck,0.555737846909159,0.644653187139113,0.633532648982552,0.734895650860957
NA,219,9,9,5,2,I,Sev13,HimboTop,0.691704511224758,0.80237420247085,0.71535121279695,0.82980459860167
JS32,220,9,10,5,2,I,Sev13,noCheck,0.679609714815669,0.788343695448111,0.714489220951303,0.828804787680622
JT30,221,9,11,5,2,I,Sev13,noCheck,0.666333620425224,0.772942878805531,0.718935926084172,0.833961392198501
JG41,225,10,14,5,2,I,Sev13,noCheck,0.742690372897096,0.861516711998259,0.771840282844363,0.895331240606499
JT37,226,10,13,5,2,I,Sev13,noCheck,0.683554198797847,0.792919179857481,0.714021944771858,0.828263041369132
JT7,227,10,12,5,2,I,Sev13,noCheck,0.703200524518147,0.815708715462715,0.749617471136458,0.869551428285279
NA,228,10,11,5,2,I,Sev13,Salmon,0.711355967969788,0.825169258837857,0.761250823230968,0.883047508656697
JG14,229,10,10,5,2,I,Sev13,noCheck,0.315988897177088,0.36654384332561,0.318830464189608,0.369840356004744
JT24,231,10,8,5,2,I,Sev13,noCheck,0.590451645136409,0.684921325953208,0.695611304151869,0.806906584403401
JS36,233,11,9,5,2,I,Sev13,noCheck,0.694739914996441,0.805895264666965,0.737981481167482,0.856055599434571
JS11,234,11,10,5,2,I,Sev13,noCheck,0.655449455550094,0.760318042767438,0.702439590193365,0.814826243320362
JG43,237,11,13,5,2,I,Sev13,noCheck,0.691632284629249,0.802289834835138,0.725143611229471,0.841161506675052
JS20,238,11,14,5,2,I,Sev13,noCheck,0.718535455371953,0.833496836293982,0.75383397710669,0.874442337631015
JT9,240,12,13,5,2,I,Sev13,noCheck,0.675838473105683,0.783969324914799,0.725978334489136,0.842132044240341
JG29,242,12,11,5,2,I,Sev13,noCheck,0.722839671003355,0.838490196227863,0.765305310515457,0.887750748086963
JS25,243,12,10,5,2,I,Sev13,noCheck,0.449994456179443,0.521990517498185,0.480108650114039,0.556923302557265
JT40,245,12,8,5,2,I,Sev13,noCheck,0.539819203384728,0.626187679627072,0.604046946060585,0.700692154012918
JS23,247,13,9,5,2,I,Sev13,noCheck,0.641901508894492,0.744602491146252,0.69494671594544,0.806136052807258
JG3,249,13,11,5,2,I,Sev13,noCheck,0.67374488777633,0.781540798645927,0.715143715143715,0.829564233856016
JG3,250,13,12,5,2,I,Sev13,noCheck,0.633302402761769,0.734627767038677,0.703990440446337,0.816626711879194
JS3,251,13,13,5,2,I,Sev13,noCheck,0.720155965161037,0.835377274059584,0.765498074239291,0.887974657047558
JG24,253,14,14,5,2,I,Sev13,noCheck,0.654542187835075,0.759264911833007,0.746881393967395,0.866377842371633
JG27,254,14,13,5,2,I,Sev13,noCheck,0.721782274402193,0.837263473734177,0.779598214285714,0.904330698818933
JG38,255,14,12,5,2,I,Sev13,noCheck,0.66092844776748,0.766673683116885,0.698201151686473,0.809909164118642
JS4,257,14,10,5,2,I,Sev13,noCheck,0.673511068487088,0.781269808278234,0.714672686230248,0.829015709584527
JS30,258,14,9,5,2,I,Sev13,noCheck,0.617978181726036,0.716851726180715,0.688466084056857,0.798616973960558
JT39,261,15,9,5,2,I,Sev13,noCheck,0.644921667559732,0.748106291169995,0.67953322376279,0.788256069266157
JG40,263,15,11,5,2,I,Sev13,noCheck,0.633046892424009,0.734331071009759,0.670659483749289,0.777958735753195
JG26,264,15,12,5,2,I,Sev13,noCheck,0.732527507156724,0.84972833347231,0.755328496220027,0.87617862748824
JG1,267,16,14,6,2,I,Sev13,noCheck,0.68903206168347,0.799273377392425,0.776666824622092,0.900930101198498
JS24,269,16,12,6,2,I,Sev13,noCheck,0.756499562691865,0.877535628787882,0.785040024165534,0.910643677258187
JS31,271,16,10,6,2,I,Sev13,noCheck,0.674431148181767,0.782337021512249,0.724034381460124,0.839876958321982
JG37,272,16,9,6,2,I,Sev13,noCheck,0.673947516327072,0.781776240162242,0.715654602201172,0.830155702105012
JS3,274,17,8,6,2,I,Sev13,noCheck,0.431946850303042,0.501056263501521,0.574329380749604,0.666219498699272
JS10,276,17,10,6,2,I,Sev13,noCheck,0.673390146678346,0.781129163004476,0.737931027046058,0.855995677274653
JT35,280,17,14,6,2,I,Sev13,noCheck,0.695351268801882,0.806603512527256,0.744417557509113,0.863520134676339
JG36,281,18,14,6,2,I,Sev13,noCheck,0.60238062051265,0.698758534686915,0.656162999827539,0.761146079396568
JS38,283,18,12,6,2,I,Sev13,noCheck,0.664530930720477,0.770853148353722,0.718166053514416,0.833070461869376
NA,284,18,11,6,2,I,Sev13,Heritage,0.68787126146035,0.797927116640384,0.727905535755796,0.8443676844209
JS8,285,18,10,6,2,I,Sev13,noCheck,0.575164849715189,0.667188472657779,0.618167312359622,0.717070871899541
JG16,288,19,8,6,2,I,Sev13,noCheck,0.382541889126085,0.443746938942192,0.514536745612718,0.596860318788909
JS27,289,19,9,6,2,I,Sev13,noCheck,0.587558137152905,0.681564031158518,0.643211920529801,0.746122533675348
JS5,290,19,10,6,2,I,Sev13,noCheck,0.628990684134972,0.729625923603279,0.699585620832544,0.811516588993621
JT11,293,19,13,6,2,I,Sev13,noCheck,0.618121278719472,0.717017169694156,0.654734311122166,0.75948901900443
JG13,294,19,14,6,2,I,Sev13,noCheck,0.610313716465264,0.707960651665177,0.686579146918375,0.796428627727127
JG8,298,20,11,6,2,I,Sev13,noCheck,0.562691595455043,0.652718857599229,0.648626387006213,0.752402650894832
JT26,299,20,10,6,2,I,Sev13,noCheck,0.61527925276621,0.713720441771084,0.662532610876982,0.768532893226453
JG17,300,20,9,6,2,I,Sev13,noCheck,0.570170699427602,0.661394687953856,0.604846666929787,0.701617703010124
NA,301,20,8,6,2,I,Sev13,Salmon,0.65045886133696,0.75452916402808,0.724803524426441,0.840769577122359
JT13,302,21,8,6,2,I,Sev13,noCheck,0.594364558092274,0.689459888695745,0.650618741527832,0.754715100039005
JG15,303,21,9,6,2,I,Sev13,noCheck,0.662747142606428,0.768782894906478,0.691393603017042,0.802012014020627
NA,304,21,10,6,2,I,Sev13,Jewel,0.608219436128596,0.705531450681212,0.633086952910888,0.734378425783819
JS35,307,21,13,6,2,I,Sev13,noCheck,0.58621782772274,0.680009200936888,0.629145642483818,0.729802019985038
JT6,308,21,14,6,2,I,Sev13,noCheck,0.603726095743173,0.700319018911361,0.661279121156639,0.767079906156166
JT12,309,22,14,6,2,I,Sev13,noCheck,0.613155070823668,0.71125666934256,0.649757119983422,0.753714316353627
JT36,310,22,13,6,2,I,Sev13,noCheck,0.555288225804984,0.644131251824539,0.609844116674751,0.707416316175406
NA,311,22,12,6,2,I,Sev13,HimboTop,0.681849795235436,0.79094239021813,0.709268957212361,0.82274894148109
JS21,313,22,10,6,2,I,Sev13,noCheck,0.587936561687889,0.682003305915414,0.617039050199189,0.715763079318145
JG25,314,22,9,6,2,I,Sev13,noCheck,0.470629010335848,0.545926799629051,0.522202779887088,0.605752024816799
JT29,316,23,8,6,2,I,Sev13,noCheck,0.470759178615703,0.546078138485235,0.591540383014155,0.686183187699916
JG19,317,23,9,6,2,I,Sev13,noCheck,0.488645883786126,0.566826384052705,0.588791229562423,0.682992662374729
JG31,318,23,10,6,2,I,Sev13,noCheck,0.430675684814997,0.49958188036154,0.544389642416769,0.631490254856131
JT22,320,23,12,6,2,I,Sev13,noCheck,0.587295438315077,0.681259859339253,0.630639791521783,0.731540039794711
JS14,162,1,8,4,2,I,Sev17,noCheck,0.641533120912511,0.744174083272733,0.683130162727255,0.792428570011423
NA,163,1,9,4,2,I,Sev17,Salmon,0.73044253099688,0.847308975343271,0.758561258898464,0.879925785383077
JG18,165,1,11,4,2,I,Sev17,noCheck,0.746385580895238,0.865802462876058,0.782796465787076,0.908038143900193
JT26,171,2,12,4,2,I,Sev17,noCheck,0.74213771609575,0.860875372938286,0.777415409702405,0.901796527908518
JS1,174,2,9,4,2,I,Sev17,noCheck,0.751558856178419,0.871804419286193,0.79519197211387,0.922418602359945
JT31,179,3,11,4,2,I,Sev17,noCheck,0.696895737025432,0.808395024015363,0.722269841009278,0.837830161956039
JG42,184,4,13,4,2,I,Sev17,noCheck,0.640514306557706,0.742993107755524,0.707670522223284,0.820894305073746
JS29,185,4,12,4,2,I,Sev17,noCheck,0.733945091678178,0.851372416720531,0.766846149824873,0.889537813632438
NA,186,4,11,4,2,I,Sev17,Heritage,0.700141189902077,0.812159870314995,0.744989451476793,0.864178647904558
JS7,188,4,9,4,2,I,Sev17,noCheck,0.735950641615958,0.853698870880569,0.785576498498602,0.911265881947883
JS2,190,5,8,4,2,I,Sev17,noCheck,0.63438214905665,0.735880340918731,0.713871670614579,0.828088271123667
JT27,192,5,10,4,2,I,Sev17,noCheck,0.606725639245672,0.703798678900916,0.669605792437651,0.776740719573369
JT2,194,5,12,4,2,I,Sev17,noCheck,0.700311422622934,0.812357602276697,0.738702702702703,0.856891429658682
JG6,195,5,13,4,2,I,Sev17,noCheck,0.731777342360246,0.848857333979236,0.764571163142052,0.886899387616984
NA,196,5,14,4,2,I,Sev17,GoldenBliss,0.771752239391252,0.895228164292151,0.795839538346984,0.923170427511439
JT1,197,6,14,4,2,I,Sev17,noCheck,0.741154282723783,0.859734600443944,0.785771647219991,0.911491666147041
JT21,199,6,12,4,2,I,Sev17,noCheck,0.646915617205273,0.750418653384122,0.692412023460411,0.803195591801783
JS19,204,7,8,4,2,I,Sev17,noCheck,0.59307684245798,0.687966172547704,0.667774053099845,0.774613819517523
NA,206,7,10,4,2,I,Sev17,Jewel,0.534343319522613,0.619835043294286,0.579177737803153,0.671843105554291
JG39,207,7,11,4,2,I,Sev17,noCheck,0.669709132702648,0.77685903635172,0.691502368444224,0.802138951887268
JT28,208,7,12,4,2,I,Sev17,noCheck,0.699253962803682,0.811131160138775,0.732414168273152,0.849596439884115
JG32,209,7,13,4,2,I,Sev17,noCheck,0.727975650100167,0.844447410117298,0.765721516695102,0.888230460953446
JG9,210,7,14,4,2,I,Sev17,noCheck,0.714067933082148,0.828313706872433,0.750260416666667,0.870297550533591
JS12,211,8,14,5,2,I,Sev17,noCheck,0.716865907714671,0.831559792271322,0.747529428056223,0.867130100658773
JG12,212,8,13,5,2,I,Sev17,noCheck,0.65340390180081,0.757944548112892,0.681530166476445,0.790572504002506
JS15,213,8,12,5,2,I,Sev17,noCheck,0.70859802897464,0.821969462901636,0.741881516642529,0.860576818583702
JG4,214,8,11,4,2,I,Sev17,noCheck,0.650358029724602,0.754412102253699,0.667274413843841,0.774034358650885
JG34,215,8,10,4,2,I,Sev17,noCheck,0.631471964167882,0.732504147452941,0.661106042546509,0.766880519000896
JT19,216,8,9,4,2,I,Sev17,noCheck,0.711539389807458,0.825381960329202,0.746341463414634,0.865752122802306
JG21,218,9,8,5,2,I,Sev17,noCheck,0.575752861490901,0.667870216457838,0.679211808951189,0.78788065713731
NA,219,9,9,5,2,I,Sev17,HimboTop,0.697740028091653,0.809375267102218,0.721830844168914,0.837321082658242
JS32,220,9,10,5,2,I,Sev17,noCheck,0.71190023725122,0.825799972102058,0.745950132660965,0.865299872316218
JT30,221,9,11,5,2,I,Sev17,noCheck,0.697379687000048,0.808956624282739,0.739795033180975,0.85815850051605
